#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin,Penalty
240,1,[UFPR] Berro Trypanossomático,107,G,C++,G.cpp,judged,juiz6 (1),NO - Time limit exceeded,0,117
241,1,[UFPR] Berro Trypanossomático,107,C,C++,C.cpp,judged,juiz3 (1),YES,1,264
242,1,[UNIARARAS] Grupo Gama,109,I,C,I.c,judged,juiz4 (1),NO - Compilation error,0,59
243,1,[FATEC-Mogi] Já Chegou o Disco Voador,109,I,Java,I.java,judged,juiz4 (1),NO - Wrong answer,0,43
244,1,[UNIVASF] PiratasDoValeDoSãoFrancisco,111,I,C++,i.cpp,judged,juiz4 (1),NO - Time limit exceeded,0,62
245,1,[POLI-USP] Vruum,111,C,C++,c.cpp,judged,juiz4 (1),YES,1,221
246,1,[UFMS] Largest Living Rodent,112,I,C,I.c,judged,juiz4 (1),NO - Runtime error,0,61
247,1,[UNIR] TBK,113,I,C++,I.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,69
248,1,[UFCG] #include <RijeéL>,114,C,C++,C.cpp,judged,juiz3 (1),YES,1,211
249,1,[UFES] ETROPUS,114,I,C++,i2.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,37
250,1,[URI] PontoCPP,115,J,C++,j.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,48
251,1,[IFSC-USP] IFSC - Schrödingers Katze,117,C,C++,C.cpp,judged,juiz2 (1),YES,1,134
252,1,[UEFS] Untitled.c,118,I,C,I.c,judged,juiz3 (1),NO - Time limit exceeded,0,135
253,1,[ITA] MargarITA,120,J,C++,j.cpp,judged,juiz2 (1),YES,1,229
254,1,[UFMS] Largest Living Rodent,121,I,C,I.c,judged,juiz3 (1),NO - Time limit exceeded,0,61
255,1,"[ITA] jQuery bool, jQuery char!",123,J,C++,joining.cpp,judged,juiz2 (1),YES,1,317
256,1,[UNISUL] Go Horse,123,I,Java,I.java,judged,juiz4 (1),NO - Time limit exceeded,0,63
257,1,[UNIARARAS] Grupo Gama,123,I,C,I.c,judged,juiz4 (1),NO - Time limit exceeded,0,59
258,1,[IME-RJ] Timelhosa,124,I,C++,I.cpp,judged,juiz4 (1),YES,1,272
259,1,[UNICAMP] Os Cartolas,124,G,C++,g.cpp,judged,juiz3 (1),YES,1,319
260,1,[UFPE] Coração das Cartas,125,G,C++,G.cpp,judged,juiz2 (1),NO - Runtime error,0,174
261,1,[URI] PontoCPP,126,J,C++,j.cpp,judged,juiz4 (1),NO - Time limit exceeded,0,48
262,1,[UFPE] 4 Fun 2 Win,126,E,C++,E.cpp,judged,juiz4 (1),YES,1,240
263,1,[UNIVASF] PiratasDoValeDoSãoFrancisco,128,I,C++,i.cpp,judged,juiz6 (1),NO - Time limit exceeded,0,62
264,1,[UFMS] Largest Living Rodent,129,I,C,I.c,judged,juiz2 (1),NO - Time limit exceeded,0,61
265,1,[FATEC-Mogi] Já Chegou o Disco Voador,130,I,Java,I.java,judged,juiz2 (1),NO - Time limit exceeded,0,43
266,1,[UFPE] Coração das Cartas,131,G,C++,G.cpp,judged,juiz5 (1),YES,1,325
267,1,[IME-RJ] Timelhosa,131,A,C++,A.cpp,judged,juiz5 (1),NO - Wrong answer,0,272
268,1,[URI] PontoCPP,132,J,C++,j.cpp,judged,juiz5 (1),NO - Time limit exceeded,0,48
269,1,[UFPE] 4 Fun 2 Win,132,J,C++,J.cpp,judged,juiz5 (1),NO - Time limit exceeded,0,240
270,1,[FATEC-Mogi] Já Chegou o Disco Voador,133,I,Java,I.java,judged,juiz4 (1),NO - Time limit exceeded,0,43
271,1,[UFV] Time do Feipa,134,A,C++,A.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,32
272,1,[UERJ] MOJUCA,134,C,C++,C.cpp,judged,juiz3 (1),NO - Wrong answer,0,79
273,1,[UNICAMP] PhD na área;,135,J,C++,j.cpp,judged,juiz6 (1),NO - Wrong answer,0,199
